VSLNumber_SampleID,Genus,Species,Genus_Species,X16S_ST
436_73-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
436_83-2,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
436_83-2,Rahnella,aquatilis,Rahnella_aquatilis,56
436_83-2,Rahnella,cf_aquatilis,Rahnella_cf_aquatilis,56
437_22-2,Pseudomonas,gessardii,Pseudomonas_gessardii,9
437_22-2,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
437_32-1,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
437_72,Pantoea,anthophila,Pantoea_anthophila,75
437_73,Pantoea,anthophila,Pantoea_anthophila,75
437_73-1,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
437_73-2,Pantoea,anthophila,Pantoea_anthophila,75
437_82-1,Pseudomonas,monteilii_oryzihabitans_vranovensis_sl,Pseudomonas_monteilii_oryzihabitans_vranovensis_sl,6
437_82-1,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
437_82-1,Pseudomonas,taiwanensis_fulva_plecoglossicida_sl,Pseudomonas_taiwanensis_fulva_plecoglossicida_sl,6
437_82-1,Pseudomonas,guariconensis_taiwanensis_fulva_parafulva_fulva_sl,Pseudomonas_guariconensis_taiwanensis_fulva_parafulva_fulva_sl,6
438_12,Pseudomonas,deceptionensis_lundensis_fragi_sl,Pseudomonas_deceptionensis_lundensis_fragi_sl,11
438_33,Pseudomonas,lundensis,Pseudomonas_lundensis,11
438_33,Pseudomonas,lundensis_taetrolens_sl,Pseudomonas_lundensis_taetrolens_sl,11
438_33,Lelliottia,amnigena,Lelliottia_amnigena,17
438_33,Pseudomonas,jessenii_taetrolens_sl,Pseudomonas_jessenii_taetrolens_sl,11
438_33,Pseudomonas,fragi,Pseudomonas_fragi,11
438_33,Kluyvera/Lelliottia,intermedia_amnigena_sl,Kluyvera/Lelliottia_intermedia_amnigena_sl,17
438_33-2,Obesumbacterium,proteus,Obesumbacterium_proteus,81
438_33-2,Hafnia,paralvei,Hafnia_paralvei,81
438_33-2,Obesumbacterium/Hafnia,proteus_paralvei_sl,Obesumbacterium/Hafnia_proteus_paralvei_sl,81
438_33-2,Lelliottia,amnigena,Lelliottia_amnigena,17
439_23-2,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
439_23-2,Pseudomonas,gessardii_proteolytica_poae_lurida_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_sl,9
439_33-2,Pseudomonas,lundensis,Pseudomonas_lundensis,11
439_33-2,Pseudomonas,lundensis_deceptionensis_sl,Pseudomonas_lundensis_deceptionensis_sl,11
439_52-2,Rahnella,cf_aquatilis,Rahnella_cf_aquatilis,56
439_52-2,Rahnella,aquatilis,Rahnella_aquatilis,56
439_52-2,Pantoea,anthophila,Pantoea_anthophila,75
439_53-1,Lelliottia,amnigena,Lelliottia_amnigena,17
439_53-2,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
439_53-2,Rahnella,cf_aquatilis,Rahnella_cf_aquatilis,56
439_53-2,Serratia,proteamaculans,Serratia_proteamaculans,92
439_53-2,Hafnia,paralvei,Hafnia_paralvei,36
439_63,Pseudomonas,grimontii,Pseudomonas_grimontii,100
440_43-2,Janthinobacterium,lividum,Janthinobacterium_lividum,102
440_92-1,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
440_92-1,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
440_92-1,Pseudomonas,tolaasii_jessenii_sl,Pseudomonas_tolaasii_jessenii_sl,52
440_93-1,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
440_93-1,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
440_93-2,Lelliottia,amnigena,Lelliottia_amnigena,17
440_93-2,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
440_93-2,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
440_42,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
441_63,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
441_63,Pseudomonas,lundensis_fragi_sl,Pseudomonas_lundensis_fragi_sl,11
441_63,Pseudomonas,fragi,Pseudomonas_fragi,11
441_83-2,Pseudomonas,jessenii_umsongensis_sl,Pseudomonas_jessenii_umsongensis_sl,11
441_83-2,Lelliottia,amnigena,Lelliottia_amnigena,17
441_83-2,Pseudomonas,jessenii,Pseudomonas_jessenii,11
441_83-2,Pseudomonas,lundensis_taetrolens_sl,Pseudomonas_lundensis_taetrolens_sl,11
441_73-1,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
442_22,Pseudomonas,jessenii_umsongensis_sl,Pseudomonas_jessenii_umsongensis_sl,11
442_23,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
442_72,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
442_73-2,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
433_32,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
433_12,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
433_22,Pseudomonas,taiwanensis_fulva_plecoglossicida_sl,Pseudomonas_taiwanensis_fulva_plecoglossicida_sl,6
433_32,Pseudomonas,fragi,Pseudomonas_fragi,11
434_22,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
434_32,Pseudomonas,brassicacearum_migulae_sl,Pseudomonas_brassicacearum_migulae_sl,24
434_32,Pseudomonas,brassicacearum_migulae_proteolytica_sl,Pseudomonas_brassicacearum_migulae_proteolytica_sl,24
434_22,Pseudomonas,taiwanensis_fulva_plecoglossicida_sl,Pseudomonas_taiwanensis_fulva_plecoglossicida_sl,6
434_32,Pseudomonas,migulae_proteolytica_sl,Pseudomonas_migulae_proteolytica_sl,24
434_33,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
NA_P12-6,Pseudomonas,jessenii_umsongensis_sl,Pseudomonas_jessenii_umsongensis_sl,52
NA_P13-4,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
NA_P13-6,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
NA_P13-6,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P12-4,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
NA_P12-2,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
NA_P12-6,Pseudomonas,gessardii_proteolytica_poae_lurida_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_sl,9
NA_P12-6,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P13-2,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
NA_P13-6,Pseudomonas,gessardii_proteolytica_poae_lurida_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_sl,9
NA_P13-6,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P12-2,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P13-2,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P13-6,Pseudomonas,jessenii_umsongensis_sl,Pseudomonas_jessenii_umsongensis_sl,11
NA_P12-6,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
NA_P12-6,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P13-4,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P33-3,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
NA_P23-5,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
NA_P42-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P42-3,Pseudomonas,grimontii,Pseudomonas_grimontii,100
NA_P43-1,Pseudomonas,yamanorum_grimontii_sl,Pseudomonas_yamanorum_grimontii_sl,100
NA_P43-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P43-2,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P43-2,Pseudomonas,jessenii_umsongensis_sl,Pseudomonas_jessenii_umsongensis_sl,52
NA_P43-3,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P43-3,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P43-4,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
NA_P43-4,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
NA_P43-1,Pseudomonas,grimontii,Pseudomonas_grimontii,100
NA_P43-2,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P43-3,Pseudomonas,gessardii_proteolytica_poae_lurida_protegens_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_protegens_sl,9
NA_P43-4,Pseudomonas,granadensis_helmanticensis_sl,Pseudomonas_granadensis_helmanticensis_sl,11
NA_P43-4,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
NA_P43-1,Hafnia,paralvei,Hafnia_paralvei,36
457_23-4,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
458_12,Pseudomonas,yamanorum_grimontii_rhodesiae_sl,Pseudomonas_yamanorum_grimontii_rhodesiae_sl,100
458_12,Pseudomonas,yamanorum_grimontii_sl,Pseudomonas_yamanorum_grimontii_sl,100
458_12-1,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
458_12-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
458_12-1,Pseudomonas,yamanorum_grimontii_sl,Pseudomonas_yamanorum_grimontii_sl,100
458_12-1,Hafnia,paralvei,Hafnia_paralvei,36
458_12-2,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
458_13,Pseudomonas,grimontii,Pseudomonas_grimontii,100
458_13,Pseudomonas,helmanticensis,Pseudomonas_helmanticensis,11
458_13,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
458_13-2,Pseudomonas,grimontii,Pseudomonas_grimontii,100
458_13-2,Pseudomonas,lundensis_helmanticensis_sl,Pseudomonas_lundensis_helmanticensis_sl,11
458_13-2,Lelliottia,amnigena,Lelliottia_amnigena,17
458_13-2,Pseudomonas,lundensis,Pseudomonas_lundensis,11
458_22-1,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
458_22-1,Rahnella,cf_aquatilis,Rahnella_cf_aquatilis,56
458_22-1,Pseudomonas,lundensis_helmanticensis_sl,Pseudomonas_lundensis_helmanticensis_sl,11
458_32,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
458_34-1,Pseudomonas,grimontii,Pseudomonas_grimontii,100
458_34-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
458_34-1,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
458_12,Pseudomonas,grimontii_rhodesiae_sl,Pseudomonas_grimontii_rhodesiae_sl,100
458_12-1,Pseudomonas,grimontii,Pseudomonas_grimontii,100
458_12-2,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
458_12-3,Hafnia,paralvei,Hafnia_paralvei,36
458_12-3,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
458_13-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
458_13-2,Pseudomonas,yamanorum_grimontii_sl,Pseudomonas_yamanorum_grimontii_sl,100
458_13-3,Hafnia,paralvei,Hafnia_paralvei,36
458_13-3,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
458_22,Pseudomonas,yamanorum_grimontii_sl,Pseudomonas_yamanorum_grimontii_sl,100
458_23-1,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
458_23-2,Pseudomonas,lundensis_helmanticensis_sl,Pseudomonas_lundensis_helmanticensis_sl,11
458_23-2,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
458_23-2,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
458_34-1,Pseudomonas,helmanticensis,Pseudomonas_helmanticensis,11
458_34-1,Pseudomonas,tolaasii_jessenii_umsongensis_sl,Pseudomonas_tolaasii_jessenii_umsongensis_sl,52
