"","scenario","Bactofuge","PPCFreq","Temp","day","per_exceed1000","per_exceed5mill","per_exceed1mill","per_exceed10mill","per_exceed20mill","per_exceed30mill","per_exceed40mill","per_exceed20000","n_exceed1000","n_exceed5mill","n_exceed1mill","n_exceed10mill","n_exceed20mill","n_exceed30mill","n_exceed40mill","n_exceed20000","n_total"
"26","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","26",45,4.6,13.7,4.4,4.1,2.3,4.1,31.7,450,46,137,44,41,23,23,317,1000
"27","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","27",47.7,5,14.3,4.7,4.5,2.6,4.5,33.9,477,50,143,47,45,26,26,339,1000
"28","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","28",50.1,5.6,15.2,5,4.8,2.9,4.8,36.9,501,56,152,50,48,29,28,369,1000
"29","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","29",51.9,6,16.7,5.7,5,3.1,5,39,519,60,167,57,50,31,30,390,1000
"30","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","30",53.3,6.7,19,6.2,5.7,3.7,5.7,41.8,533,67,190,62,57,37,33,418,1000
"31","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","31",56.3,7.4,20.2,6.9,6.4,3.9,6.4,45.4,563,74,202,69,64,39,38,454,1000
"32","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","32",58.8,7.8,21.2,7.6,7,4.2,7,46.9,588,78,212,76,70,42,41,469,1000
"33","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","33",60.9,8.1,21.8,7.8,7.6,4.8,7.6,48.3,609,81,218,78,76,48,44,483,1000
"34","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","34",61.9,8.7,23.3,8.1,7.9,4.9,7.9,50,619,87,233,81,79,49,49,500,1000
"35","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","35",62.9,8.9,25,8.7,8.2,5.2,8.2,51.3,629,89,250,87,82,52,51,513,1000
"36","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"37","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"38","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"39","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","4",0.4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1000
"40","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","5",0.8,0,0,0,0,0,0,0.4,8,0,0,0,0,0,0,4,1000
"41","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","6",1.2,0,0.2,0,0,0,0,0.8,12,0,2,0,0,0,0,8,1000
"42","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","7",2,0.3,0.5,0.2,0.2,0.1,0.2,1.1,20,3,5,2,2,1,0,11,1000
"43","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","8",2.8,0.3,0.6,0.3,0.3,0.1,0.3,1.4,28,3,6,3,3,1,1,14,1000
"44","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","9",3.9,0.4,0.8,0.4,0.4,0.1,0.4,2.3,39,4,8,4,4,1,1,23,1000
"45","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","10",5.9,0.5,0.9,0.5,0.5,0.1,0.5,3,59,5,9,5,5,1,1,30,1000
"46","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","11",7.4,0.6,1.4,0.5,0.5,0.2,0.5,4.1,74,6,14,5,5,2,2,41,1000
"47","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","12",9,0.7,1.7,0.7,0.6,0.3,0.6,5,90,7,17,7,6,3,3,50,1000
"48","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","13",10.2,0.9,2,0.9,0.8,0.4,0.8,7,102,9,20,9,8,4,4,70,1000
"49","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","14",12.7,0.9,2.2,0.9,0.9,0.5,0.9,8.4,127,9,22,9,9,5,5,84,1000
"50","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","15",14.8,1,2.8,1,1,0.5,1,9.2,148,10,28,10,10,5,5,92,1000
"51","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","16",17.8,1.4,4.3,1.1,1,0.6,1,10.6,178,14,43,11,10,6,6,106,1000
"52","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","17",19.5,1.9,5.2,1.7,1.4,0.7,1.4,13.3,195,19,52,17,14,7,7,133,1000
"53","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","18",22.3,2.3,6.1,2.2,1.9,1,1.9,15.4,223,23,61,22,19,10,10,154,1000
"54","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","19",25.4,2.5,6.7,2.3,2.3,1,2.3,17,254,25,67,23,23,10,10,170,1000
"55","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","20",27.8,2.6,7.7,2.5,2.4,1.1,2.4,18.1,278,26,77,25,24,11,11,181,1000
"56","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","21",30.2,2.9,8.3,2.7,2.6,1.3,2.6,20.5,302,29,83,27,26,13,13,205,1000
"57","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","22",33.5,3.2,9.5,3,2.9,1.7,2.9,23.1,335,32,95,30,29,17,15,231,1000
"58","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","23",36.1,3.2,10.4,3.2,3.1,1.9,3.1,24.6,361,32,104,32,31,19,18,246,1000
"59","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","24",39.7,3.8,11.3,3.4,3.2,1.9,3.2,26.6,397,38,113,34,32,19,19,266,1000
"60","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","25",41.9,4.3,12.4,4,3.6,2.1,3.6,29.5,419,43,124,40,36,21,19,295,1000
"61","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","26",45,4.6,13.7,4.4,4.1,2.3,4.1,31.7,450,46,137,44,41,23,23,317,1000
"62","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","27",47.7,5,14.3,4.7,4.5,2.6,4.5,33.9,477,50,143,47,45,26,26,339,1000
"63","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","28",50.1,5.6,15.2,5,4.8,2.9,4.8,36.9,501,56,152,50,48,29,28,369,1000
"64","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","29",51.9,6,16.7,5.7,5,3.1,5,39,519,60,167,57,50,31,30,390,1000
"65","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","30",53.3,6.7,19,6.2,5.7,3.7,5.7,41.8,533,67,190,62,57,37,33,418,1000
"66","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","31",56.3,7.4,20.2,6.9,6.4,3.9,6.4,45.4,563,74,202,69,64,39,38,454,1000
"67","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","32",58.8,7.8,21.2,7.6,7,4.2,7,46.9,588,78,212,76,70,42,41,469,1000
"68","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","33",60.9,8.1,21.8,7.8,7.6,4.8,7.6,48.3,609,81,218,78,76,48,44,483,1000
"69","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","34",61.9,8.7,23.3,8.1,7.9,4.9,7.9,50,619,87,233,81,79,49,49,500,1000
"70","MB_BestPPCVSL436_LT","MB","BestPPCVSL436","LT","35",62.9,8.9,25,8.7,8.2,5.2,8.2,51.3,629,89,250,87,82,52,51,513,1000
"71","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"72","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","2",0.7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1000
"73","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","3",13.3,0,1,0,0,0,0,5.7,133,0,10,0,0,0,0,57,1000
"74","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","4",19.6,11.5,12.1,10.4,9.5,9.1,9.5,14.5,196,115,121,104,95,91,84,145,1000
"75","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","5",24.5,12.7,14.2,12.6,12.3,12.3,12.3,19.6,245,127,142,126,123,123,123,196,1000
"76","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","6",26.3,15.2,17.7,14.4,14.3,14.1,14.3,23.6,263,152,177,144,143,141,137,236,1000
"77","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","7",26.8,19.4,21.1,18.6,16.8,16.7,16.8,25.9,268,194,211,186,168,167,166,259,1000
"78","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","8",27.4,22.5,24.6,21.5,20.2,19.7,20.2,26.7,274,225,246,215,202,197,193,267,1000
"79","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","9",27.8,25.2,26.2,24.6,22.7,22.1,22.7,26.8,278,252,262,246,227,221,217,268,1000
"80","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","10",29,26.4,26.7,26.3,24.5,24.4,24.5,27.2,290,264,267,263,245,244,239,272,1000
"81","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","11",31.6,26.7,26.8,26.7,25.4,25.3,25.4,27.6,316,267,268,267,254,253,253,276,1000
"82","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","12",34.9,26.8,27.2,26.8,25.4,25.4,25.4,28.3,349,268,272,268,254,254,254,283,1000
"83","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","13",41.2,27.2,27.3,27,25.5,25.4,25.5,30,412,272,273,270,255,254,254,300,1000
"84","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","14",48.5,27.3,27.7,27.3,25.9,25.4,25.9,32.3,485,273,277,273,259,254,254,323,1000
"85","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","15",53.6,27.7,27.9,27.6,26.3,25.4,26.3,38,536,277,279,276,263,254,254,380,1000
"86","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","16",59.8,27.9,28.1,27.9,26.4,25.4,26.4,42.9,598,279,281,279,264,254,254,429,1000
"87","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","17",64.1,28,28.6,28,26.6,25.4,26.6,48.4,641,280,286,280,266,254,254,484,1000
"88","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","18",66.2,28.2,29.2,28.1,26.8,25.4,26.8,53.8,662,282,292,281,268,254,254,538,1000
"89","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","19",67.3,28.4,30.7,28.3,26.9,25.4,26.9,59.6,673,284,307,283,269,254,254,596,1000
"90","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","20",68.5,28.8,33.2,28.6,27.1,25.6,27.1,63.3,685,288,332,286,271,256,255,633,1000
"91","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","21",69.2,29.7,36,29.2,27.3,25.6,27.3,66.1,692,297,360,292,273,256,256,661,1000
"92","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","22",70.2,31.3,40,30.3,28.2,26.2,28.2,67.5,702,313,400,303,282,262,258,675,1000
"93","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","23",71.4,32.5,44.6,31.7,29.4,27.2,29.4,68.3,714,325,446,317,294,272,266,683,1000
"94","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","24",72.5,33.5,48.4,32.7,30.7,28.4,30.7,69.5,725,335,484,327,307,284,282,695,1000
"95","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","25",73.1,34.5,51.6,34,31.6,29.4,31.6,71.3,731,345,516,340,316,294,291,713,1000
"96","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","26",73.4,35.2,53.7,34.7,33.1,30.7,33.1,71.9,734,352,537,347,331,307,302,719,1000
"97","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","27",73.5,35.8,54.9,35.5,33.7,31.3,33.7,73,735,358,549,355,337,313,311,730,1000
"98","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","28",73.7,36.3,56.7,36,34.4,32.1,34.4,73.4,737,363,567,360,344,321,319,734,1000
"99","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","29",73.7,37.3,58.3,36.6,34.7,32.6,34.7,73.5,737,373,583,366,347,326,324,735,1000
"100","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","30",73.7,38.5,59.5,38.2,36,33.3,36,73.7,737,385,595,382,360,333,331,737,1000
"101","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","31",73.7,39.6,59.7,39,37.2,35,37.2,73.7,737,396,597,390,372,350,344,737,1000
"102","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","32",73.7,40.2,60,40.1,37.9,35.6,37.9,73.7,737,402,600,401,379,356,356,737,1000
"103","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","33",73.7,40.5,60,40.4,38.9,36.8,38.9,73.7,737,405,600,404,389,368,367,737,1000
"104","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","34",73.7,40.6,60.2,40.6,39.2,37.1,39.2,73.7,737,406,602,406,392,371,369,737,1000
"105","MB_MeanSpoilType_CT","MB","MeanSpoilType","CT","35",73.7,40.8,60.2,40.8,39.3,37.2,39.3,73.7,737,408,602,408,393,372,372,737,1000
"106","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","1",0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1000
"107","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","2",0.8,0.4,0.4,0.4,0.3,0.3,0.3,0.7,8,4,4,4,3,3,3,7,1000
"108","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","3",3.3,0.9,1.2,0.8,0.8,0.8,0.8,1.8,33,9,12,8,8,8,8,18,1000
"109","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","4",6.6,2.2,2.6,2.2,2.2,2.1,2.2,4.1,66,22,26,22,22,21,20,41,1000
"110","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","5",9.3,4.2,5,3.8,3.3,3.2,3.3,7.9,93,42,50,38,33,32,32,79,1000
"111","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","6",12,6.7,7.5,6.3,5.9,5.9,5.9,9.3,120,67,75,63,59,59,59,93,1000
"112","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","7",15.2,8.2,9.2,8.1,7.7,7.5,7.7,11.5,152,82,92,81,77,75,73,115,1000
"113","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","8",17.6,9.7,10.8,9.6,8.9,8.6,8.9,13.7,176,97,108,96,89,86,85,137,1000
"114","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","9",20.4,11.4,12.2,10.8,10.2,10,10.2,16.4,204,114,122,108,102,100,100,164,1000
"115","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","10",23,12.7,13.8,12.2,11.8,11.5,11.8,18.3,230,127,138,122,118,115,113,183,1000
"116","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","11",24.5,14.1,15.5,13.7,12.9,12.5,12.9,19.9,245,141,155,137,129,125,123,199,1000
"117","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","12",25.9,15.3,17.1,14.9,13.9,13.8,13.9,21.9,259,153,171,149,139,138,135,219,1000
"118","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","13",27,16.7,17.9,16,15,14.5,15,23.8,270,167,179,160,150,145,144,238,1000
"119","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","14",29.1,17.3,19.1,17,16.2,15.8,16.2,25.1,291,173,191,170,162,158,153,251,1000
"120","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","15",30.5,18.3,20.4,18.1,16.9,16.3,16.9,25.7,305,183,204,181,169,163,163,257,1000
"121","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","16",32.4,19.3,21.7,18.5,17.5,17.3,17.5,27.2,324,193,217,185,175,173,173,272,1000
"122","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","17",33.6,20,22.5,19.7,18.6,18,18.6,29.6,336,200,225,197,186,180,176,296,1000
"123","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","18",35.2,20.7,23.6,20.5,19.2,18.8,19.2,30.8,352,207,236,205,192,188,186,308,1000
"124","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","19",36.9,21.4,24.4,20.8,19.7,19.2,19.7,31.9,369,214,244,208,197,192,192,319,1000
"125","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","20",38.1,22,25.5,21.8,20.2,19.4,20.2,32.7,381,220,255,218,202,194,193,327,1000
"126","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","21",39.1,22.4,26.5,22,21,20.3,21,34.2,391,224,265,220,210,203,202,342,1000
"127","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","22",40.8,23.2,27.7,22.8,21.5,20.8,21.5,35.5,408,232,277,228,215,208,206,355,1000
"128","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","23",42.2,23.7,28.3,23.4,22.1,21.3,22.1,36.3,422,237,283,234,221,213,211,363,1000
"129","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","24",43.9,24.2,28.9,23.9,22.6,21.8,22.6,37.6,439,242,289,239,226,218,218,376,1000
"130","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","25",45,24.7,29.4,24.4,23,22.4,23,38.9,450,247,294,244,230,224,222,389,1000
"131","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","26",46.5,25.1,30.3,24.8,23.6,22.8,23.6,40.1,465,251,303,248,236,228,227,401,1000
"132","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","27",47.8,25.4,30.8,25.3,23.9,23.2,23.9,41.2,478,254,308,253,239,232,231,412,1000
"133","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","28",48.6,26.1,31.6,25.4,24.3,23.6,24.3,42.5,486,261,316,254,243,236,233,425,1000
"134","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","29",49.4,26.1,32.5,26.1,24.4,23.7,24.4,43.8,494,261,325,261,244,237,237,438,1000
"135","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","30",50,26.9,33.7,26.3,25.1,24.3,25.1,45.1,500,269,337,263,251,243,239,451,1000
"136","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","31",51.5,27.3,34.2,26.9,25.4,24.5,25.4,46.9,515,273,342,269,254,245,244,469,1000
"137","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","32",52.6,27.6,34.8,27.5,25.8,24.5,25.8,47.4,526,276,348,275,258,245,245,474,1000
"138","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","33",53.8,28,35.1,27.6,26.4,25.3,26.4,48,538,280,351,276,264,253,248,480,1000
"139","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","34",54.4,28.1,36.1,28,26.6,25.4,26.6,48.6,544,281,361,280,266,254,254,486,1000
"140","MB_MeanSpoilType_LT","MB","MeanSpoilType","LT","35",55.1,28.5,36.6,28.1,27,25.6,27,49,551,285,366,281,270,256,255,490,1000
"141","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
"142","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","2",2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1000
"143","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","3",39.2,0.6,2.6,0.3,0,0,0,17.2,392,6,26,3,0,0,0,172,1000
"144","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","4",59,32.4,35.1,29.6,26.7,24.6,26.7,41.6,590,324,351,296,267,246,227,416,1000
"145","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","5",75.3,36.9,40,36.3,35.8,35.8,35.8,57.1,753,369,400,363,358,358,358,571,1000
"146","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","6",85,43.7,51.4,41.7,40.1,39.9,40.1,72,850,437,514,417,401,399,392,720,1000
"147","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","7",86.1,56.9,64.2,54.1,50.7,49.2,50.7,83.3,861,569,642,541,507,492,484,833,1000
"148","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","8",86.5,67.5,77,64.8,59.7,58.3,59.7,85.7,865,675,770,648,597,583,578,857,1000
"149","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","9",86.8,80.3,84.9,77.2,68.9,67.1,68.9,86.1,868,803,849,772,689,671,655,861,1000
"150","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","10",87.3,85.3,86,84.8,78,77.2,78,86.4,873,853,860,848,780,772,760,864,1000
"151","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","11",87.7,86,86.1,86,80.7,80.6,80.7,86.7,877,860,861,860,807,806,804,867,1000
"152","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","12",88.4,86.1,86.4,86,81,81,81,87.1,884,861,864,860,810,810,810,871,1000
"153","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","13",90.9,86.4,86.7,86.2,81.1,81,81.1,87.5,909,864,867,862,811,810,810,875,1000
"154","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","14",93.7,86.7,86.9,86.4,81.4,81,81.4,88.1,937,867,869,864,814,810,810,881,1000
"155","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","15",95.1,86.9,86.9,86.9,81.7,81,81.7,89.3,951,869,869,869,817,810,810,893,1000
"156","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","16",96.8,86.9,86.9,86.9,81.9,81,81.9,91.3,968,869,869,869,819,810,810,913,1000
"157","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","17",97.9,86.9,87.2,86.9,81.9,81,81.9,93.6,979,869,872,869,819,810,810,936,1000
"158","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","18",98.5,87.1,87.4,87,82,81,82,95.1,985,871,874,870,820,810,810,951,1000
"159","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","19",98.8,87.1,87.7,87.1,82,81,82,96.3,988,871,877,871,820,810,810,963,1000
"160","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","20",99.1,87.2,88.5,87.1,82.1,81.1,82.1,97.5,991,872,885,871,821,811,811,975,1000
"161","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","21",99.2,87.5,89.7,87.2,82.2,81.1,82.2,98.5,992,875,897,872,822,811,811,985,1000
"162","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","22",99.5,88,90.8,87.7,82.3,81.2,82.3,98.8,995,880,908,877,823,812,812,988,1000
"163","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","23",99.6,88.6,92.5,88.4,82.8,81.5,82.8,98.9,996,886,925,884,828,815,815,989,1000
"164","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","24",99.8,88.9,93.5,88.7,83.5,82.3,83.5,99.2,998,889,935,887,835,823,820,992,1000
"165","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","25",100,89.4,94.3,89.2,83.8,82.7,83.8,99.6,1000,894,943,892,838,827,826,996,1000
"166","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","26",100,89.5,94.9,89.4,84.3,83.2,84.3,99.7,1000,895,949,894,843,832,829,997,1000
"167","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","27",100,89.5,95.2,89.5,84.5,83.4,84.5,100,1000,895,952,895,845,834,834,1000,1000
"168","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","28",100,89.6,95.7,89.5,84.5,83.5,84.5,100,1000,896,957,895,845,835,835,1000,1000
"169","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","29",100,89.9,96,89.6,84.6,83.5,84.6,100,1000,899,960,896,846,835,835,1000,1000
"170","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","30",100,90,96.3,90,84.9,83.6,84.9,100,1000,900,963,900,849,836,836,1000,1000
"171","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","31",100,90.2,96.3,90.1,85,84,85,100,1000,902,963,901,850,840,839,1000,1000
"172","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","32",100,90.4,96.3,90.4,85.1,84.1,85.1,100,1000,904,963,904,851,841,841,1000,1000
"173","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","33",100,90.4,96.3,90.4,85.4,84.4,85.4,100,1000,904,963,904,854,844,844,1000,1000
"174","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","34",100,90.4,96.3,90.4,85.4,84.4,85.4,100,1000,904,963,904,854,844,844,1000,1000
"175","MB_WorstPPCVSL434_CT","MB","WorstPPCVSL434","CT","35",100,90.4,96.3,90.4,85.4,84.4,85.4,100,1000,904,963,904,854,844,844,1000,1000
"176","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","1",0.6,0,0,0,0,0,0,0.3,6,0,0,0,0,0,0,3,1000
"177","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","2",2.6,1.1,1.4,1.1,1,1,1,2,26,11,14,11,10,10,9,20,1000
"178","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","3",9.6,2.6,3.4,2.6,2.6,2.5,2.6,5.4,96,26,34,26,26,25,25,54,1000
"179","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","4",18.1,6.4,7.2,6.2,5.7,5.3,5.7,12.3,181,64,72,62,57,53,52,123,1000
"180","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","5",28.5,11.6,13.7,10.8,10.1,9.9,10.1,19.6,285,116,137,108,101,99,97,196,1000
"181","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","6",37.2,17.9,19.1,16.9,15.7,15.2,15.7,28.2,372,179,191,169,157,152,151,282,1000
"182","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","7",44.8,23,25.6,21.8,20,19.5,20,35.2,448,230,256,218,200,195,193,352,1000
"183","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","8",50.9,28.3,32.4,26.8,25.2,24.8,25.2,40.7,509,283,324,268,252,248,245,407,1000
"184","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","9",56,34.2,36.8,32.6,30.5,29.9,30.5,46.7,560,342,368,326,305,299,294,467,1000
"185","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","10",59.2,37.3,40.6,36.3,34.5,34,34.5,51.8,592,373,406,363,345,340,333,518,1000
"186","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","11",63.3,41.1,45.1,39.9,37.4,36.8,37.4,55,633,411,451,399,374,368,363,550,1000
"187","MB_WorstPPCVSL434_LT","MB","WorstPPCVSL434","LT","12",66.6,45.5,49.7,43.8,41.2,40.3,41.2,58.2,666,455,497,438,412,403,399,582,1000
