"","Plant","VSLNumber","SampleID","Day_Initial_Actual","Spoiled20000_yn","AnyGN_yn","exceed20000byD10_yn","exceed100000postD10_yn","HigherSPC_yn","GN_AtLeast2x","spoilagetype","SPC_DI","SPC_D7","SPC_D10","SPC_D14","SPC_D17","SPC_D21","CVTA_DI","CVTA_D7","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","LOD_SPC_DI","LOD_SPC_D7","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_CVTA_DI","LOD_CVTA_D7","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","Plant_VSLNumber_SampleID"
"11","23-03","468","23-1",3,"yes","yes","no","yes","yes","yes","spore",570,"630","7900","4e+07","4.1e+08","5.7e+08",5,"80","7700","4e+07","6.5e+08","8.6e+08","OK","OK","OK","aboveLOD","OK","OK","belowLOD","OK","OK","aboveLOD","OK","OK","23-03_468_23-1"
"12","23-03","468","24",3,"yes","yes","no","yes","no","no","spore",90,"150","160","330","850","250000",5,"5","5","1800","5","20","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","OK","23-03_468_24"
"13","23-03","468","24-1",3,"yes","yes","yes","no","yes","yes","ppc",210,"4e+05","3.2e+07","6.7e+08","1.4e+08","3.6e+08",5,"4e+05","4.1e+07","8.2e+08","1.8e+08","2.2e+08","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","23-03_468_24-1"
"14","25-08","472","11",3,"yes","yes","no","yes","yes","no","spore",710,"430","590","1.3e+07","510000","2100000",5,"5","5","1e+07","500","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","belowLOD","25-08_472_11"
"15","25-08","472","11-1",3,"yes","yes","no","yes","yes","yes","spore",1500,"980","1100","82000","560000","2800000",5,"5","5","8100000","2.7e+07","1.6e+08","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","25-08_472_11-1"
"16","25-08","472","12",3,"yes","no","no","no","no","no","spore",710,"1100","1400","110","78000","920",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","25-08_472_12"
"17","25-08","472","12-1",3,"yes","yes","no","yes","yes","yes","spore",980,"150","NotTested","2300000","5.5e+07","6e+07",5,"5","10000","4e+07","5.9e+07","7e+07","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","aboveLOD","OK","OK","25-08_472_12-1"
"18","25-08","472","12-2",3,"yes","yes","no","yes","yes","yes","spore",560,"120","1800","1.1e+07","1.1e+07","2e+07",5,"5","1100","78000","1500000","1.2e+07","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","25-08_472_12-2"
"19","25-08","472","13",3,"yes","yes","no","yes","yes","yes","spore",1700,"1800","1700","230","1400000","1e+05",5,"5","5","1600","2600000","6800000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","25-08_472_13"
"20","25-08","472","13-1",3,"yes","yes","yes","no","yes","yes","ppc",1600,"1400","4e+05","7.7e+08","4.8e+08","9.3e+08",5,"780","1200000","1.1e+09","5.6e+08","7e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","25-08_472_13-1"
"21","25-08","472","14",3,"yes","yes","no","yes","yes","yes","spore",990,"760","1000","2600","1200000","440000",5,"5","5","20000","170000","2700000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","25-08_472_14"
"22","25-08","472","14-1",3,"yes","yes","yes","no","yes","yes","ppc",850,"39000","3e+06","7e+08","4.5e+08","1.6e+09",5,"110000","1.1e+07","8.2e+08","5.9e+08","1.3e+09","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","25-08_472_14-1"
"23","33-08","466","11",3,"yes","yes","no","yes","no","no","spore",210,"130","80","590","190000","280000",5,"5","2000","5","840","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","OK","belowLOD","33-08_466_11"
"24","33-08","466","12",3,"yes","yes","yes","no","yes","yes","ppc",440,"5400","2.1e+07","1.8e+08","50000","1e+05",5,"3100","4e+07","1e+08","50000","5","OK","OK","OK","OK","belowLOD","OK","belowLOD","OK","aboveLOD","OK","belowLOD","belowLOD","33-08_466_12"
"25","33-08","466","12-1",3,"yes","yes","no","yes","no","no","spore",350,"280","200","12000","620000","4.9e+07",5,"5","5","5","20","2000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","33-08_466_12-1"
"26","33-08","466","12-2",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",480,"640","170","80","640","16000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","33-08_466_12-2"
"27","33-08","466","13",3,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",100,"100","90","20","7800","3100",5,"5","5","5","5","2600","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","33-08_466_13"
"28","33-08","466","13-1",3,"yes","no","no","yes","no","no","spore",80,"60","140","17000","860000","6.7e+07",5,"5","5","5","5","500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","33-08_466_13-1"
"29","33-08","466","14",3,"yes","yes","no","yes","yes","yes","spore",900,"200","19000","8000","1000","1300000",5,"20","19000","30000","500","4e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","belowLOD","aboveLOD","33-08_466_14"
"30","33-08","468","11",1,"yes","yes","no","no","yes","no","spore",10,"30","330","90","500","1e+05",5,"5","80","5","140","16000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","OK","OK","33-08_468_11"
"31","33-08","468","12",1,"yes","yes","no","yes","yes","yes","spore",10,"30","20","610","65000","9200000",5,"1900","1.7e+07","4.4e+08","4.8e+08","4e+09","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","aboveLOD","33-08_468_12"
"32","33-08","468","12-1",1,"NotSpoiled","no","no","no","no","no","NotSpoiled",2.5,"30","30","20","200","12000",5,"5","5","5","5","5","belowLOD","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","33-08_468_12-1"
"33","33-08","468","12-2",1,"yes","yes","no","no","yes","no","spore",10,"80","20","50","1100","83000",5,"5","5","5","520","21000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","33-08_468_12-2"
"34","33-08","468","13",1,"NotSpoiled","yes","no","no","yes","yes","NotSpoiled",10,"30","10","2.5","2.5","5400",5,"1400","1900000","2.5e+07","1200000","4e+07","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","OK","OK","OK","OK","aboveLOD","33-08_468_13"
"35","33-08","468","13-1",1,"NotSpoiled","no","no","no","yes","no","NotSpoiled",30,"20","20","30","10","40",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","33-08_468_13-1"
"36","33-08","468","13-2",1,"yes","no","no","yes","no","no","spore",20,"2.5","10","90","1000","190000",5,"5","5","5","5","5","OK","belowLOD","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","33-08_468_13-2"
"37","33-08","468","14",1,"yes","no","no","yes","no","no","spore",50,"40","120","150","1900","290000",5,"5","5","5","5","160","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","33-08_468_14"
"38","36-1007","463","21",3,"yes","yes","yes","no","yes","yes","ppc",4600,"5000","29000","2.6e+07","2.1e+08","2500000",5,"41","31000","1.3e+07","1.1e+08","5e+06","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","belowLOD","36-1007_463_21"
"39","36-1007","463","22",3,"yes","yes","yes","no","yes","yes","ppc",400,"380","77000","3e+07","1.3e+08","4.5e+08",5,"270","86000","1.2e+07","8.6e+07","3.9e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_463_22"
"40","36-1007","463","22-1",3,"yes","yes","yes","no","yes","yes","ppc",61,"3300","4700000","2.8e+07","9.9e+07","5.7e+07",5,"3300","5800000","2.5e+07","6e+07","6.5e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_463_22-1"
"41","36-1007","463","23",3,"yes","yes","yes","no","yes","yes","ppc",10,"220","66000","3.8e+07","8.3e+07","2.2e+08",5,"290","54000","1.3e+07","9.3e+07","1.8e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_463_23"
"42","36-1007","463","23-1",3,"yes","yes","yes","no","yes","yes","ppc",20,"41000","1.3e+07","3.5e+07","7.6e+07","6.8e+07",5,"39000","1.2e+07","4.4e+07","4e+07","5.9e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_463_23-1"
"43","36-1007","469","11",4,"yes","yes","no","yes","yes","yes","spore",40,"350","1400","2200000","1.4e+08","4.7e+08",5,"5","1200","2800000","1.4e+08","4.1e+08","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-1007_469_11"
"44","36-1007","469","11-1",4,"yes","yes","yes","no","yes","yes","ppc",750,"160000","7.6e+07","1.5e+08","25000","6.2e+08",880,"230000","5.1e+07","1.5e+08","50000","4.4e+08","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","belowLOD","OK","36-1007_469_11-1"
"45","36-1007","469","12",4,"yes","yes","no","yes","yes","yes","spore",10,"80","1200","1100000","250","2.3e+08",5,"40","700","1400000","2300000","1.5e+08","OK","OK","OK","OK","belowLOD","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_469_12"
"46","36-1007","469","13",4,"yes","yes","yes","no","yes","yes","ppc",10,"7000","1e+07","1.1e+08","4.2e+08","8.1e+08",20,"7100","110000","1.4e+08","4.2e+08","4.8e+08","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-1007_469_13"
"47","36-1007","472","61",3,"yes","no","yes","no","no","no","spore",33000,"140","480","110000","NotTested","NotTested",5,"5","5","5","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-1007_472_61"
"48","36-1007","472","61-1",3,"yes","yes","yes","no","yes","yes","ppc",15000,"340","170000","33000","NotTested","NotTested",5,"32000","3600000","2.6e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_472_61-1"
"49","36-1007","472","61-2",3,"yes","yes","no","yes","yes","yes","spore",15000,"200","2300","110000","NotTested","NotTested",5,"47000","330000","1.9e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_472_61-2"
"50","36-1007","472","61-3",3,"yes","yes","yes","no","no","yes","ppc",30000,"330000","2.4e+07","1.8e+08","NotTested","NotTested",5,"190000","1.4e+07","770000","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_472_61-3"
"51","36-1007","472","62",3,"yes","no","yes","no","no","no","spore",32000,"20","4900","99000","NotTested","NotTested",5,"5","5","580","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-1007_472_62"
"52","36-1007","472","62-1",3,"yes","yes","yes","no","yes","yes","ppc",21000,"2800000","1.4e+07","2.1e+08","NotTested","NotTested",5,"2600000","1.5e+07","1.4e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_472_62-1"
"53","36-1007","472","63",3,"yes","yes","yes","no","yes","yes","ppc",17000,"110000","1.4e+07","1.4e+08","NotTested","NotTested",5,"140000","1.3e+07","1e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_472_63"
"54","36-1007","472","63-1",3,"yes","yes","yes","no","yes","yes","ppc",25000,"960000","2.8e+07","1.5e+08","NotTested","NotTested",5,"620000","1.9e+07","7.7e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1007_472_63-1"
"55","36-1103","463","51",3,"yes","yes","yes","no","yes","yes","ppc",450,"3900","550000","5100000","2.8e+07","2.9e+07",5,"3000","490000","7e+05","5e+06","1.7e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","belowLOD","OK","36-1103_463_51"
"56","36-1103","466","31",2,"yes","yes","no","yes","yes","yes","spore",50,"570","10000","3100000","2.9e+07","5.2e+07",40,"440","5600","510000","2.8e+07","7.4e+07","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-1103_466_31"
"57","36-1103","468","51",2,"NotSpoiled","no","no","no","no","no","NotSpoiled",40,"70","90","10","40","60",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1103_468_51"
"58","36-1103","470","31",2,"NotSpoiled","no","no","no","yes","no","NotSpoiled",10,"2.5","2.5","10","2.5","20",5,"5","5","5","5","5","OK","belowLOD","belowLOD","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1103_470_31"
"59","36-1131","464","51",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",90,"220","190","8000","250","250",5,"5","5","5","500","500","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1131_464_51"
"60","36-1131","464","51-1",17,"NotSpoiled","yes","no","no","yes","yes","NotSpoiled",390,"NotTested","NotTested","NotTested","NotTested","200",3800,"NotTested","NotTested","NotTested","NotTested","36000","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-1131_464_51-1"
"61","36-1131","467","31",3,"yes","yes","no","yes","yes","yes","spore",10,"20","550","850000","52000","1200000",5,"5","440","3200000","20000","150000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-1131_467_31"
"62","36-1131","469","41",4,"yes","yes","no","no","yes","yes","REVIEW",10,"20","50","86000","26000","26000",5,"5","20","64000","26000","480","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-1131_469_41"
"63","36-1131","469","41-1",11,"yes","no","no","yes","no","no","spore",10,"NotTested","NotTested","20","2500","640000",5,"NotTested","NotTested","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","belowLOD","belowLOD","belowLOD","36-1131_469_41-1"
"64","36-1131","472","41",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",10,"20","20","50","30","360",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1131_472_41"
"65","36-1131","472","41-1",5,"yes","yes","no","no","yes","yes","REVIEW",40,"NotTested","10","160","8400","80000",5,"NotTested","20","5","5400","48000","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","belowLOD","OK","OK","36-1131_472_41-1"
"66","36-1139","471","61",5,"yes","yes","yes","no","yes","yes","ppc",100,"NotTested","140000","1.6e+07","1.7e+07","5.3e+07",5,"NotTested","130000","1.6e+07","1.6e+07","4.9e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1139_471_61"
"67","36-1139","471","61-1",4,"yes","yes","yes","no","yes","yes","ppc",2.5,"30","26000","4e+05","1.8e+07","3500000",5,"20","100","28000","64000","3300000","belowLOD","OK","OK","aboveLOD","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1139_471_61-1"
"68","36-1255","463","31",3,"yes","yes","yes","no","yes","yes","ppc",120,"22000","2e+07","1.9e+07","NotTested","NotTested",5,"75000","9e+06","1.8e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1255_463_31"
"69","36-1255","463","33",3,"yes","yes","yes","no","yes","yes","ppc",270,"4100","1.9e+07","4.3e+07","NotTested","NotTested",5,"22000","3100000","1.8e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1255_463_33"
"70","36-1255","463","33-1",3,"yes","yes","yes","no","yes","yes","ppc",290,"4100","1.4e+07","4.7e+07","NotTested","NotTested",5,"14000","9300000","2e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1255_463_33-1"
"71","36-1255","463","34",3,"yes","yes","yes","no","yes","yes","ppc",170,"250000","2.3e+07","2.5e+08","NotTested","NotTested",20,"210000","1.7e+07","8.2e+07","NotTested","NotTested","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-1255_463_34"
"72","36-1255","463","34-1",3,"yes","yes","yes","no","yes","yes","ppc",61,"130000","2.1e+07","4.9e+08","NotTested","NotTested",5,"30000","120000","3.8e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1255_463_34-1"
"73","36-1255","463","34-2",3,"yes","yes","yes","no","yes","yes","ppc",6600,"91000","2.3e+07","5.2e+08","NotTested","NotTested",5,"32000","1.6e+07","2.2e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1255_463_34-2"
"74","36-1255","470","41",3,"yes","yes","yes","no","yes","yes","ppc",30,"110000","4e+07","5.7e+07","NotTested","NotTested",5,"91000","4e+07","5.2e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-1255_470_41"
"75","36-1255","470","43",3,"yes","yes","yes","no","yes","yes","ppc",10,"4e+05","1.4e+07","3.3e+08","NotTested","NotTested",5,"4e+05","3.9e+07","6.9e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-1255_470_43"
"76","36-1255","470","43-1",3,"yes","yes","yes","no","yes","yes","ppc",30,"4e+05","1.2e+07","2.6e+08","NotTested","NotTested",40,"4e+05","2.2e+07","2.1e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-1255_470_43-1"
"77","36-1255","470","44",3,"yes","yes","yes","no","yes","yes","ppc",50,"4e+05","3.4e+07","6.4e+08","NotTested","NotTested",40,"4e+05","1e+08","4.2e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-1255_470_44"
"78","36-1255","470","44-1",3,"yes","yes","yes","no","yes","yes","ppc",2.5,"4e+05","7700000","8.5e+07","NotTested","NotTested",20,"4e+05","3.3e+07","1.3e+08","NotTested","NotTested","belowLOD","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-1255_470_44-1"
"79","36-1255","470","44-2",3,"yes","yes","yes","no","yes","yes","ppc",50,"4e+05","1.4e+07","1.9e+08","NotTested","NotTested",20,"4e+05","6.4e+07","2.2e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-1255_470_44-2"
"80","36-1288","467","51",3,"yes","yes","no","no","yes","yes","REVIEW",70,"60","5","50","23000","64000",5,"5","5","5","4e+07","5e+08","OK","OK","belowLOD","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","aboveLOD","OK","36-1288_467_51"
"81","36-1288","467","51-1",3,"yes","yes","yes","no","yes","yes","ppc",40,"140000","1.3e+07","2e+07","1.7e+09","2.6e+09",20,"28000","4e+07","1.9e+07","2.3e+09","2.2e+09","OK","OK","OK","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-1288_467_51-1"
"82","36-1288","467","52",1,"yes","yes","yes","no","yes","yes","ppc",30,"2500","470000","7.2e+07","1.6e+08","50000",5,"2400","530000","8.6e+07","1.3e+08","50000","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","belowLOD","36-1288_467_52"
"83","36-1288","467","53",1,"yes","yes","no","yes","yes","yes","spore",20,"40","10","20","4e+07","3e+08",5,"5","5","5","4e+07","2.8e+08","OK","OK","OK","OK","aboveLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","aboveLOD","OK","36-1288_467_53"
"84","36-1288","469","31",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",2.5,"60","20","20","1800","20",5,"5","5","5","120","5","belowLOD","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","belowLOD","36-1288_469_31"
"85","36-1288","469","31-1",3,"yes","no","no","yes","no","no","spore",50,"30","20","40","970","4e+05",5,"5","5","20","5","40","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","OK","36-1288_469_31-1"
"86","36-1288","469","32",1,"yes","yes","yes","no","yes","yes","ppc",40,"4e+05","5.5e+07","1.3e+08","1e+06","2.6e+08",5,"4e+05","5e+07","1.3e+08","5e+06","2.2e+08","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-1288_469_32"
"87","36-1288","469","33",1,"NotSpoiled","no","no","no","no","no","NotSpoiled",30,"70","10","20","10","8700",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-1288_469_33"
"88","36-1296","471","31",2,"yes","yes","yes","no","yes","yes","ppc",40,"4e+05","2.1e+07","2.5e+08","NotTested","NotTested",5,"4e+05","2.1e+07","2.6e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-1296_471_31"
"89","36-1348","463","41",3,"yes","yes","yes","no","yes","yes","ppc",2.5,"590","1e+05","5400000","8800000","2.1e+07",5,"800","170000","3400000","5e+06","1.4e+07","belowLOD","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","belowLOD","OK","36-1348_463_41"
"90","36-1348","463","42",3,"yes","yes","yes","no","yes","yes","ppc",41,"3300","230000","1.3e+07","1.1e+07","5.4e+07",5,"2600","1700","5400000","6600000","5.7e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-1348_463_42"
"91","36-1348","463","43",3,"yes","no","no","no","no","no","spore",51,"82","41","70","25000","51",5,"5","5","500","5","20","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-1348_463_43"
"92","36-1348","470","51",3,"yes","yes","yes","no","yes","yes","ppc",40,"31000","4e+07","3.8e+08","5.4e+08","1.6e+09",5,"29000","4e+07","2.6e+08","3.2e+08","1.4e+09","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-1348_470_51"
"93","36-1348","470","52",3,"yes","yes","yes","no","yes","yes","ppc",10,"15000","4e+07","2.4e+08","3.8e+08","7.5e+08",5,"14000","4e+07","1.8e+08","3e+08","4.6e+08","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-1348_470_52"
"94","36-1348","470","53",3,"yes","yes","yes","no","yes","yes","ppc",10,"34000","4e+07","1.6e+08","4e+08","1.2e+09",5,"32000","4e+07","1.5e+08","3.4e+08","1.3e+09","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-1348_470_53"
"95","36-1393","472","51",14,"yes","yes","yes","no","yes","yes","ppc",4e+05,"NotTested","NotTested","NotTested","9.8e+07","1.3e+08",4e+05,"NotTested","NotTested","NotTested","1.1e+08","9.8e+07","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","OK","36-1393_472_51"
